Family,Species,Common.name,Biogeographical.affinity,Reproductive.mode,Lmax..cm.,Trophic.guild,Trophic.level,Habitat..Horizontal.,Habitat..vertical.,Source
Petromyzontidae,Lampetra fluviatilis,River lamprey,Boreal,Fluvial spawner,45,Ectoparasite,4.5,Coastal,Demersal,Yang (1982a)
Petromyzontidae,Petromyzon marinus,Sea lamprey,Boreal,Fluvial spawner,120,Ectoparasite,4.4,Shelf,Demersal,Yang (1982a)
Myxinidae,Myxine glutinosa,Hagfish,Atlantic,Demersal eggs,45,Scavenger,3.5,Shelf,Demersal,Yang (1982a)
Hexanchidae,Hexanchus griseus,Six-gilled shark,Atlantic,Viviparous,500,Piscivore,4.3,Slope,Bathydemersal,Yang (1982a)
Alopiidae,Alopias vulpinus,Thresher shark,Atlantic,Viviparous,560,Piscivore,4.5,Oceanic,Epipelagic,Yang (1982a)
Cetorhinidae,Cetorhinus maximus,Basking shark,Atlantic,Viviparous,980,Planktivore,3.2,Shelf,Epipelagic,Yang (1982a)
Lamnidae,Isurus oxyrinchus,Mako shark,Atlantic,Viviparous,400,Piscivore,4.5,Oceanic,Epipelagic,Yang (1982a)
Lamnidae,Lamna nasus,Porbeagle shark,Atlantic,Viviparous,370,Piscivore,4.5,Shelf,Epipelagic,Yang (1982a)
Scyliorhinidae,Galeus melastomus,Blackmouthed dogfish,Lusitanian,Demersal eggs,90,Bentho-piscivore,4.2,Slope,Bathydemersal,Yang (1982a)
Scyliorhinidae,Scyliorhinus canicula,Lesser-spotted dogfish,Lusitanian,Demersal eggs,80,Bentho-piscivore,3.7,Inner shelf,Demersal,Yang (1982a)
Scyliorhinidae,Scyliorhinus stellaris,Nurse hound,Lusitanian,Demersal eggs,162,Piscivore,4,Inner shelf,Reef-associated,Yang (1982a)
Triakidae,Galeorhinus galeus,Tope shark,Lusitanian,Viviparous,200,Piscivore,4.2,Shelf,Benthopelagic,Yang (1982a)
Triakidae,Mustelus asterias,Starry smooth hound,Lusitanian,Viviparous,140,Carcinophage,3.7,Shelf,Demersal,Yang (1982a)
Triakidae,Mustelus mustelus,Smooth hound,Lusitanian,Viviparous,150,Carcinophage,3.8,Shelf,Demersal,Yang (1982a)
Carcharhinidae,Carcharhinus longimanus,Oceanic whitetip shark,Atlantic,Viviparous,350,Piscivore,4.2,Oceanic,Epipelagic,One vagrant [1]
Carcharhinidae,Prionace glauca,Blue shark,Atlantic,Viviparous,383,Piscivore,4.2,Oceanic,Epipelagic,Yang (1982a)
Sphyrnidae,Sphyrna zygaena,Common hammerhead,Atlantic,Viviparous,400,Piscivore,4.5,Oceanic,Epipelagic,Yang (1982a)
Dalatiidae,Dalatias licha,Darkie charlie,Atlantic,Viviparous,180,Piscivore,4.2,Slope,Bathydemersal,Yang (1982a)
Dalatiidae,Etmopterus spinax,Velvet belly,Atlantic,Viviparous,45,Piscivore,3.8,Slope,Bathydemersal,Yang (1982a)
Dalatiidae,Somniosus microcephalus,Greenland shark,Boreal,Viviparous,650,Piscivore,4.2,Slope,Benthopelagic,Yang (1982a)
Squalidae,Squalus acanthias,Spurdog,Boreal,Viviparous,105,Piscivore,4.3,Shelf,Benthopelagic,Yang (1982a)
Echinorhinidae,Echinorhinus brucus,Bramble shark,Atlantic,Viviparous,250,Piscivore,4.4,Slope,Bathydemersal,Compagno (1984)
Squatinidae,Squatina squatina,Angel shark,Lusitanian,Viviparous,250,Piscivore,4.1,Inner shelf,Demersal,Yang (1982a)
Torpedinidae,Torpedo marmorata,Marbled electric ray,Lusitanian,Viviparous,60,Piscivore,4.5,Shelf,Demersal,Yang (1982a)
Torpedinidae,Torpedo nobiliana,Common electric ray,Lusitanian,Viviparous,180,Piscivore,4.5,Shelf,Demersal,Yang (1982a)
Rajidae,Amblyraja radiata,Starry ray,Boreal,Demersal eggs,90,Piscivore,4,Shelf,Demersal,Yang (1982a)
Rajidae,Dipturus batis,Common skate,Boreal,Demersal eggs,250,Piscivore,4,Shelf,Demersal,Yang (1982a)
Rajidae,Dipturus linteus,Sailray,Boreal,Demersal eggs,110,Benthivore,3.5,Slope,Demersal,Laverack and Blackler (1974)
